Region,Subregion,Stock,Group,Name,EnglishName,ScientificName,Source,MinOfYear,MaxOfYear,StartYear,EndYear,Flim,Fpa,Blim,Bpa,Bmsy,FMSY,MSY,MSYBtrigger,B40,M,Fofl,last_F,Resilience,r.low,r.hi,stb.low,stb.hi,int.yr,intb.low,intb.hi,endb.low,endb.hi,q.start,q.end,btype,force.cmsy,Comment,,
Mediterranean,Adriatic Sea,Athe_boy_AD,Plankton feeders,Sand smelt in Adriatic Sea,Big scale sand smelt,Atherina boyeri,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,NA,NA,0.2,0.6,NA,NA,NA,0.01,0.4,NA,NA,None,F,"Catch=landings from FishStat (Italy, Croatia, Slovenia). RF final 0.3. GS final 0.4 because trawling was banned in 3 nm zone, causing decline in catch.",,
Mediterranean,Adriatic Sea,Belo_bel_AD,Large predators,Garfish in Adriatic Sea,Garfish,Belone belone,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,0.19,1,0.5,0.9,2000,0.01,0.4,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Italy, Croatia, Slovenia, Serbia and Montenegro). RF final 0.2. GS final 0.3, low catches caused by low demand. ",,
Mediterranean,Adriatic Sea,Boli_bra_AD,Plankton feeders,Purple dye murex in Adriatic,Purple dye murex,Bolinus brandaris,,1972,2015,1972,2015,,,,,,,,,,,,,High,NA,NA,0.5,0.9,1990,0.5,0.9,0.5,0.9,NA,NA,CPUE,F,Catch=landings from FishStat. CPUE from SOLEMON ,,
Mediterranean,Adriatic Sea,Boop_Boo_AD,Plankton feeders,Bogue in Adriatic Sea,Bogue,Boops boops,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,0.31,1.1,0.5,0.9,1990,0.01,0.4,0.01,0.4,NA,NA,None,F,"Catch=landings from FishStat (Yugoslavia, Italy, Croatia, Serbia and Montenegro, Slovenia). RF int 1990 0.01-0.4, final 0.3. GS final 0.4, decline in catches caused by low market demand.",,
Mediterranean,Adriatic Sea,Cham_gal_AD,Plankton feeders,Striped venus in Adriatic Sea,Venus clam,Chamelea gallina,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,NA,NA,0.2,0.6,1995,0.1,0.5,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Slovenia, Italy). RF int 1995 0.1-0.5, final 0.3. GS OK. Scarcella, G., Mosteiro Cabanelas, A. 2016. The clam fisheries sector in the EU/ the Adriatic Sea case. European Parliament's Committee on Fisheries. http://www.europarl.europa.eu/supporting-analyses. 40 pp",,
Mediterranean,Adriatic Sea,Cong_con_AD,Benthic fish & inv.,Conger eel in Adriatic Sea,Conger eel,Conger conger,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,0.16,0.46,0.2,0.6,2000,0.01,0.4,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Serbia and Montenegro, Slovenia, Italy, Croatia, Yugoslavia). RF int 2000 0.01-0.4, final 0.3. GS OK",,
Mediterranean,Adriatic Sea,Dent_den_AD,Benthic fish & inv.,Common dentex in Adriatic Sea,Dentex,Dentex dentex,,1970,2014,1970,2014,,,,,,,,,,,,,Low,0.15,0.73,0.2,0.6,1995,0.01,0.4,0.01,0.4,NA,NA,None,F,"Catch=landings from FishStat (Croatia, Italy, Serbia and Montenegro, Yugoslavia, Montenegro). GS OK",,
Mediterranean,Adriatic Sea,Engr_enc_AD,Plankton feeders,Anchovy in Adriatic Sea,European anchovy,Engraulis encrasicolus,"GFCM 2014 WGSP, EASME EMFF 2014, M from Colloca et al 2013",1970,2014,1975,2013,,,69500,,,0.3,,,,0.68,,0.87,High,0.26,1.16,0.5,0.9,1990,0.01,0.4,0.01,0.4,2004,2013,CPUE,F,"Landings from Stock assessment form GFCM 2015 (17+18) MEDIAS 17+18. GS OK, very similar to SAM",,
Mediterranean,Adriatic Sea,Hom_gam_AD,Benthic fish & inv.,Lobster in Adriatic Sea,Lobster,Homarus gammarus,,1970,2014,1970,2013,,,,,,,,,,,,,Medium,NA,NA,0.2,0.6,1995,0.01,0.4,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Croatia, Italy, Serbia and Montenegro, Yugoslavia). GS OK",,
Mediterranean,Adriatic Sea,Ille_coi_AD,Benthic fish & inv.,Shortfin squid in Adriatic Sea,Shortfin squid,Illex coindettii,,1970,2014,1985,2013,,,,,,,,,,,,,Medium,NA,NA,0.2,0.6,1995,0.01,0.4,0.01,0.3,2008,2013,CPUE,F,Catch=landings from FishStat (Italy). CPUE from MEDITS. RF final 0.3. GS OK [Thanasis source],,
Mediterranean,Adriatic Sea,Loli_vul_AD,Benthic fish & inv.,European squid in Adriatic Sea,European squid,Loligo vulgaris,,1970,2014,1970,2013,,,,,,,,,,,,,Medium,NA,NA,0.5,0.9,2000,0.01,0.4,0.01,0.3,2004,2013,CPUE,T,"Catch=landings from FishStat. CPUE from MEDITS. RF int 2000 0.01-0.4, final 0.3. GS OK, Thanasis source ",,
Mediterranean,Adriatic Sea,Lophius_AD,Benthic fish & inv.,Blackbellied angler in Adriatic Sea,Blackbellied angler,Lophius spp.,,1970,2014,1970,2013,,,,,,,,,,,,,Low,0.2,0.54,0.2,0.6,NA,NA,NA,0.1,0.5,NA,NA,None,F,Catch=landings from FishStat (Italy). RF final 0.1-0.5. GS OK,,
Mediterranean,Adriatic Sea,Merl_mer_AD,Large predators,Hake in Adriatic Sea,European hake,Merluccius merluccius,STECF 16-08,1970,2014,1978,2013,,,2569,,,0.16,,,,,,0.89,Medium,0.22,0.95,0.2,0.6,1997,0.01,0.3,0.01,0.3,2004,2013,CPUE,F,GSA 17-18-19-20 Fishstat - MEDITS 17-18-19. GS OK,,
Mediterranean,Adriatic Sea,Micr_pou_AD,Large predators,Blue whiting in Adriatic Sea,Blue whiting,Micromesistius poutassou,,1970,2014,1975,2013,,,,,,,,,,,,,Medium,0.21,1.09,0.5,0.9,1995,0.01,0.4,0.01,0.4,2004,2013,CPUE,T,"Catch=landings from FishStat (Italy, Croatia). CPUE from MEDITS. RF int 2000 0.01-0.4. GS OK, Thanasis source",,
Mediterranean,Adriatic Sea,Mull_bar_AD,Benthic fish & inv.,Red mullet in Adriatic Sea,Red mullet,Mullus barbatus,STECF 16-08,1970,2014,1975,2013,,,3439,,,0.41,,,,,,0.54,Medium,0.22,1.25,0.2,0.6,1990,0.01,0.4,0.01,0.4,2004,2013,CPUE,F,GSA 17 Fishstat - MEDITS 17 (From SGMED 2014). GS OK ,,
Mediterranean,Adriatic Sea,Obla_mel_AD,Benthic fish & inv.,Saddled seabream in Adriatic Sea,Saddled seabream,Oblada melanura,,1970,2014,1972,2014,,,,,,,,,,,,,Medium,0.68,0.88,0.2,0.6,1995,0.2,0.6,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Italy, Croatia). RF int 1995 0.2-0.6, final 0.3. GS OK",,
Mediterranean,Adriatic Sea,Octo_vul_AD,Benthic fish & inv.,Common octopus in Adriatic Sea,Common octopus,Octopus vulgaris,,1970,2014,1995,2013,,,,,,,,,,,,,Medium,0.4,1,0.2,0.6,2005,0.2,0.6,0.01,0.3,2000,2013,CPUE,F,"Catch=landings from FishStat (Croatia, Italy, Serbia and Montenegro, Yugoslavia, Montenegro, Slovenia). GS start 1995 0.2-0.6, int 2005 0.2-0.6",,
Mediterranean,Adriatic Sea,Page_ery_AD,Benthic fish & inv.,Common pandora in Adriatic Sea,Common pandora,Pagellus erythrinus,,1970,2014,1970,2013,,,,,,,,,,,,,Medium,0.22,0.97,0.2,0.6,1996,0.01,0.3,0.01,0.3,2004,2013,CPUE,F,"Catch=landings from FishStat (Croatia, Italy, Slovenia). CPUE from MEDITS. RF final 0.3. GS OK add source",,
Mediterranean,Adriatic Sea,Pali_ele_AD,Benthic fish & inv.,Common spiny lobster in Adriatic Sea,Common spiny lobster,Palinurus elephas,,1970,2014,1972,2014,,,,,,,,,,,,,Low,NA,NA,0.2,0.6,NA,NA,NA,NA,NA,NA,NA,None,F,"Catch=landings from FishStat (Italy, Croatia). GS OK",,
Mediterranean,Adriatic Sea,Pect_jac_AD,Benthic fish & inv.,Scallop in Adriatic Sea,King scallop,Pecten jacobeus,,1972,2015,1972,2015,,,,,,,,,,,,,Medium,NA,NA,0.5,0.9,1990,0.01,0.4,0.01,0.3,NA,NA,CPUE,F,Catch=landings from FishStat. Final 0.3.,,
Mediterranean,Adriatic Sea,Pena_ker_AD,Benthic fish & inv.,Caramote prawn in Adriatic,Caramote prawn,Peneaus kerathurus,,1972,2015,1972,2015,,,,,,,,,,,,,High,NA,NA,0.5,0.9,1990,0.5,0.9,0.5,0.9,NA,NA,CPUE,F,Catch=landings from FishStat. CPUE from SOLEMON ,,
Mediterranean,Adriatic Sea,Pset_max_AD,Benthic fish & inv.,Turbot in Adriatic Sea,Turbot,Scophthalmus maximus,,1970,2013,1970,2013,,,,,,,,,,,,,Medium,0.25,0.82,0.2,0.6,NA,NA,NA,NA,NA,2005,2014,CPUE,F,Catch=landings from FishStat. CPUE from SOLEMON ,,
Mediterranean,Adriatic Sea,Scop_rho_AD,Benthic fish & inv.,Brill in Adriatic,Brill,Scophthalmus rhombus,,1972,2015,1972,2015,,,,,,,,,,,,,Medium,NA,NA,0.5,0.9,1990,0.01,0.4,0.01,0.4,NA,NA,CPUE,F,Catch=landings from FishStat. CPUE from SOLEMON ,,
Mediterranean,Adriatic Sea,Sard_pil_AD,Plankton feeders,Sardine in Adriatic Sea,European pilchard,Sardina pilchardus,"EASME EMFF 2014, M from Colloca et al 2013",1970,2014,1975,2013,,,180000,,,0.3,,,,0.52,,0.44,Medium,0.27,1.1,0.2,0.6,2005,0.01,0.4,0.01,0.4,2004,2013,CPUE,F,"Landings from Stock assessment form GFCM 2015 (17+18) MEDIAS 17+18. GS OK, similar to SAM",,
Mediterranean,Adriatic Sea,Sarp_sal_AD,Benthic fish & inv.,Salema in Adriatic Sea,Salema,Sarpa salpa,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,NA,NA,0.5,0.9,1991,0.5,0.9,0.2,0.6,NA,NA,None,F,"Catch=landings from FishStat (Serbia and Montenegro, Slovenia, Croatia, Italy, Montenegro, Yugoslavia). RF Not in Appendix, zero points??",,
Mediterranean,Adriatic Sea,Sepi_off_AD,Benthic fish & inv.,Cuttlefish in Adriatic Sea,Cuttlefish,Sepia officinalis,,1972,2015,1972,2015,,,,,,,,,,,,,Medium,NA,NA,0.5,0.9,1990,0.01,0.4,0.01,0.4,NA,NA,CPUE,F,"Catch=landings from FishStat (Croatia, Italy, Serbia and Montenegro, Yugoslavia, Montenegro). CPUE from SOLEMON. RF final 0.3. ",,
Mediterranean,Adriatic Sea,Seri_dum_AD,Large predators,Greater amberjack in Adriatic Sea,Greater amberjack,Seriola dumerili,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,0.44,0.84,0.5,0.9,2000,0.3,0.7,0.3,0.7,NA,NA,None,F,"Catch=landings from FishStat (Italy, Croatia). RF int 2000 0.3-0.7, final 0.3-0.7. GS OK",,
Mediterranean,Adriatic Sea,Sole_sol_AD,Benthic fish & inv.,Common sole in Adriatic Sea,Common sole,Solea solea,"EASME EMFF 2014, M from Colloca et al 2013",1972,2015,1972,2015,,,715,,,0.31,,,,0.31,,0.44,Medium,0.21,1.02,0.5,0.9,1990,0.01,0.4,0.01,0.4,NA,NA,CPUE,F,Landings from Stock assessment SGMED 2015 - CPUE from SOLEMON Only 17. ,,
Mediterranean,Adriatic Sea,Spod_can_AD,Benthic fish & inv.,Black seabream in Adriatic Sea,Black seabream,Spondyliosoma cantharus,,1970,2014,1972,2014,,,,,,,,,,,,,Medium,0.24,1.05,0.2,0.6,NA,NA,NA,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Croatia, Serbia and Montenegro, Yugoslavia). RF final 0.3. GS OK",,
Mediterranean,Adriatic Sea,Squi_man_AD,Benthic fish & inv.,Mantis shrimp in Adriatic Sea,Spottail mantis ,Squilla mantis,STECF 16-08,1970,2014,1970,2014,,,12878,,,0.56,,,,,,0.69,Medium,NA,NA,0.2,0.6,1995,0.01,0.4,0.2,0.6,2004,2013,CPUE,F,"Catch=landings from FishStat (Italy, Croatia, Slovenia). GS OK",,
Mediterranean,Adriatic Sea,Trachurus_AD,Plankton feeders,Horse mackerels in Adriatic Sea,Horse mackerels,Trachurus spp,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,NA,NA,0.2,0.6,1995,0.01,0.4,0.01,0.4,NA,NA,None,F,"Catch=landings from FishStat (Italy, Croatia, Slovenia, Montenegro). GS OK",,
Mediterranean,Adriatic Sea,Tris_min_AD,Benthic fish & inv.,Poor cod in Adriatic Sea,Poor cod,Trisopterus minutus,,1970,2013,1990,2013,,,,,,,,,,,,,Medium,NA,NA,0.2,0.6,NA,NA,NA,0.01,0.3,NA,NA,None,F,Catch=landings from FishStat. RF final 0.3. GS OK,,
Mediterranean,Aegean Sea,ATHEBOY_AL,Plankton feeders,Sand smelt in Aegean Sea,Big scale sand smelt,Atherina boyeri,,1970,2014,1982,2014,,,,,,,,,,,,,Medium,0.33,1.74,0.5,0.9,2003,0.01,0.3,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat. RF int 2003 0.3, final 0.3 ",,
Mediterranean,Aegean Sea,BELOBEL_AL,Large predators,Garfish in Aegean Sea,Garfish,Belone belone,,1982,2014,1985,2014,,,,,,,,,,,,,Medium,0.19,1,0.5,0.9,2000,0.01,0.4,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Greece). RF int 2000 0.4, final 0.3",,
Mediterranean,Aegean Sea,BOOPBOO_AL,Plankton feeders,Bogue in Aegean Sea,Bogue,Boops boops,,1970,2014,1982,2014,,,,,,,,,,,,,Medium,0.31,1.1,0.2,0.6,2000,0.01,0.4,0.01,0.3,1994,2014,CPUE,F,Catch=landings from FishStat (Greece+Turkey). RF final 0.3,,
Mediterranean,Aegean Sea,DENTDEN_AL,Benthic fish & inv.,Common dentex in Aegean Sea,Common dentex,Dentex dentex,,1970,2014,1970,2014,,,,,,,,,,,,,Low,0.15,0.73,0.2,0.6,NA,NA,NA,0.01,0.3,NA,NA,None,F,Catch=landings from FishStat (Greece). RF final 0.3,,
Mediterranean,Aegean Sea,DENTMAC_AL,Benthic fish & inv.,Large-eye dentex in Aegean Sea,Large-eye dentex,Dentex macrophthalmus,,1982,2014,1982,2014,,,,,,,,,,,,,Medium,0.38,1.34,0.2,0.6,NA,NA,NA,0.1,0.5,NA,NA,None,F,Catch=landings from FishStat (Greece). RF final 0.1-0.5,,
Mediterranean,Aegean Sea,DICELAB_AL,Large predators,European seabass in Aegean Sea,European seabass,Dicentrarchus labrax,,1982,2014,1982,2014,,,,,,,,,,,,,Low,0.17,0.88,0.5,0.9,NA,NA,NA,0.01,0.3,NA,NA,None,F,"Catch=landings from FishStat (Greece). RF start 0.5 0.9, final 0.3",,
Mediterranean,Aegean Sea,DIPLANN_AL,Benthic fish & inv.,Annular seabream in Aegean Sea,Annular seabream,Diplodus annularis,,1970,2014,1982,2014,,,,,,,,,,,,,Medium,NA,NA,0.5,0.9,NA,NA,NA,0.01,0.3,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value. RF final 0.3",,
Mediterranean,Aegean Sea,DIPLSAR_AL,Benthic fish & inv.,White seabream in Aegean Sea,White seabream,Diplodus sargus,,1982,2014,1982,2014,,,,,,,,,,,,,Medium,0.23,0.85,0.5,0.9,NA,NA,NA,0.01,0.3,NA,NA,None,F,Catch=landings from FishStat (Greece).  RF final 0.3,,
Mediterranean,Aegean Sea,ELEDMOS_AL,Benthic fish & inv.,Musky octopus in Aegean Sea,Musky octopus,Eledone moschata,,1970,2014,1982,2014,,,,,,,,,,,,,Medium,NA,NA,0.5,0.9,NA,NA,NA,0.01,0.4,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value.  RF final 0.4",,
Mediterranean,Aegean Sea,ENGRENC_AL,Plankton feeders,Anchovy in Aegean Sea,European anchovy,Engraulis encrasicolus,,1970,2014,1970,2014,,,,,,,,,,,,,High,0.26,1.16,0.5,0.9,2000,0.2,0.6,0.01,0.4,2000,2013,CPUE,F,"Catch=landings from FishStat (Greece+Turkey), Biomass estimates standardized relative to max value",,
Mediterranean,Aegean Sea,EPINGUA_AL,Large predators,Dusky grouper in Aegean Sea,Dusky grouper,Epinephelus marginatus,,1982,2014,1985,2014,,,,,,,,,,,,,Low,0.11,0.57,0.2,0.6,NA,NA,NA,0.01,0.3,NA,NA,None,F,Catch=landings from FishStat (Greece).  RF final 0.3,,
Mediterranean,Aegean Sea,ILLECOI_AL,Benthic fish & inv.,Shortfin squid in Aegean Sea,Shortfin squid,Illex coindetii,,1970,2014,1990,2014,,,,,,,,,,,,,Medium,NA,NA,0.2,0.6,2000,0.2,0.6,0.2,0.6,1996,2014,CPUE,T,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value",,
Mediterranean,Aegean Sea,LOLIVUL_AL,Benthic fish & inv.,European squid in Aegean Sea,European squid,Loligo vulgaris,,1970,2014,1980,2014,,,,,,,,,,,,,Medium,NA,NA,0.2,0.6,2000,0.2,0.6,0.01,0.4,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value",,
Mediterranean,Aegean Sea,LOPHBUD_AL,Benthic fish & inv.,Blackbellied angler in Aegean Sea,Blackbellied angler,Lophius budegassa,,1970,2014,1982,2014,,,,,,,,,,,,,Low,0.2,0.54,0.2,0.6,1995,0.2,0.6,0.01,0.4,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value",,
Mediterranean,Aegean Sea,MERLMER_AL,Large predators,Hake in Aegean Sea,European hake,Merluccius merluccius,excel,1970,2014,1980,2014,,,,,,0.24,,,,,,0.83,Medium,0.22,0.95,0.01,0.4,2000,0.01,0.4,0.01,0.4,1994,2014,CPUE,T,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value",OK,
Mediterranean,Aegean Sea,MICMPOU_AL,Large predators,Blue whiting in Aegean Sea,Blue whiting,Micromesistius poutassou,,1970,2014,1985,2014,,,,,,,,,,,,,Medium,0.21,1.09,0.2,0.6,1996,0.01,0.3,0.01,0.3,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value.  RF final 0.3",OK,
Mediterranean,Aegean Sea,MULLBAR_AL,Benthic fish & inv.,Red mullet in Aegean Sea,Red mullet,Mullus barbatus,excel,1970,2014,1985,2014,,,,,,0.52,,,,,,0.56,Medium,0.22,1.25,0.01,0.4,1995,0.01,0.4,0.01,0.3,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece+Turkey), Biomass estimates standardized relative to max value.  RF OK 04.10.16",,
Mediterranean,Aegean Sea,MULLSUR_AL,Benthic fish & inv.,Surmulet in Aegean Sea,Surmulet,Mullus surmuletus,,1970,2014,1985,2014,,,,,,,,,,,,,Medium,0.46,1.58,0.2,0.6,1995,0.01,0.4,0.01,0.3,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece+Turkey), Biomass estimates standardized relative to max value.  RF final 0.3",,
Mediterranean,Aegean Sea,NEPRNOR_AL,Benthic fish & inv.,Norway lobster in Aegean Sea,Norway lobster,Nephrops norvegicus,excel,1970,2014,1970,2014,,,,,,0.12,,,,,,0.32,Medium,NA,NA,0.2,0.6,2000,0.01,0.4,0.01,0.3,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value",,
Mediterranean,Aegean Sea,OBLAMEL_AL,Benthic fish & inv.,Saddled seabream in Aegean Sea,Saddled seabream,Oblada melanura,,1982,2014,1982,2014,,,,,,,,,,,,,Medium,0.68,0.88,0.5,0.9,2000,0.2,0.6,0.2,0.6,NA,NA,None,F,Catch=landings from FishStat (Greece),,
Mediterranean,Aegean Sea,OCTOVUL_AL,Benthic fish & inv.,Common octopus in Aegean Sea,Common octopus,Octopus vulgaris,,1970,2014,1990,2014,,,,,,,,,,,,,Medium,0.4,1,0.01,0.4,1995,0.01,0.4,0.01,0.4,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece+Turkey), Biomass estimates standardized relative to max value",,
Mediterranean,Aegean Sea,PAGEERY_AL,Benthic fish & inv.,Common pandora in Aegean Sea,Common pandora,Pagellus erythrinus,,1970,2014,1970,2014,,,,,,,,,,,,,Medium,0.22,0.97,0.2,0.6,2000,0.01,0.4,0.01,0.4,1994,2014,CPUE,F,"Catch=landings from FishStat (Greece), Biomass estimates standardized relative to max value",,
Mediterranean,Aegean Sea,PAGRPAG_AL,Benthic fish & inv.,Red porgy in Aegean Sea,Red porgy,Pagrus pagrus,,1970,2014,1985,2014,,,,,,,,,,,,,Medium,0.27,0.86,0.2,0.6,2000,0.01,0.4,0.01,0.4,NA,NA,None,F,Catch=landings from FishStat (Greece+Turkey),,
Mediterranean,Aegean Sea,PALIELE_AL,Benthic fish & inv.,Common spiny lobster in Aegean Sea,Common spiny lobster,Palinurus elephas,,1982,2014,1982,2014,,,,,,,,,,,,,Low,NA,NA,0.5,0.9,2000,0.1,0.5,0.1,0.5,NA,NA,None,F,"Catch=landings from FishStat (Greece). RF int 0.1-0.5, final 0.1-0.5",,
