"Ready?","Region","Subregion","Stock","Group","Name","EnglishName","ScientificName","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","btype","force.cmsy","Comment"
"Y","IOTC","Indian Ocean","Alop_sup_IndianOcean","Large sharks (>=90 cm)","Bigeye thresher in Gulf of Oman","Bigeye thresher","Alopias superciliosus","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low",0.01,0.67,0.8,1,"NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
"Y","IOTC; SIOFA","Indian Ocean","Alop_vul_IndianOcean","Large sharks (>=90 cm)","Thresher in Indian Ocean","Thresher","Alopias vulpinus","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low","NA","NA",0.8,1,"NA","NA","NA","NA","NA","NA","NA","None","F","RF changed resilience from Very low to Low. OK 14/05/18."
,"GFCM;ICCAT","Mediterranean","Angu_ang_Med","Large demersals (>=90 cm)","European eel in Mediterranean","European eel","Anguilla anguilla",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low","NA","NA",0.6,1,"NA","NA","NA",0.01,0.2,"NA","NA","CPUE","F","RF changed final depletion prior to 0.01-0.2. OK 14/05/18."
"Y","FAO area 27 and 21","North Atlantic","Apha_car_NorthAtlantic","Large benthopelagics (>=90 cm)","Black scabbardfish in North Atlantic","Black scabbardfish","Aphanopus carbo",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low","NA","NA",0.9,1,"NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
,"GFCM;ICCAT","Mediterranean","Aris_ant_Med","Shrimps","Blue and red shrimp in Alboran Sea","Blue and red shrimp","Aristeus antennatus","http://www.fao.org/gfcm/reports/technical-meetings/detail/en/c/471253/",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","RF OK 14/05/18. CPUE from ARITANT_BA Biomass from Medits for GSAs 1-6"
"Y","IOTC","Indian Ocean","Auxi_roc_IndianOcean","Medium pelagics (30 - 89 cm)","Bullet tuna in Indian Ocean","Bullet tuna","Auxis rochei","http://www.iotc.org/sites/default/files/documents/science/species_summaries/english/Bullet%20tuna%20Supporting%20Information.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.68,1.2,"NA","NA",2002,0.4,0.8,"NA","NA","NA","NA","CPUE","T","RF OK 14/05/18. CPUE from IOTC, Sri Lanka Gill-net, incompatible with catch and ignored."
,"ICCAT","Mediterranean","Auxi_roc_Med","Medium pelagics (30 - 89 cm)","Bullet tuna in Mediterranean","Bullet tuna","Auxis rochei",,1958,2014,1958,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.68,1.2,0.8,1,"NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
"Y","IOTC","Indian Ocean","Auxi_tha_IndianOcean","Medium pelagics (30 - 89 cm)","Frigate tuna in Indian Ocean","Frigate tuna","Auxis thazard","http://www.iotc.org/science/status-summary-species-tuna-and-tuna-species-under-iotc-mandate-well-other-species-impacted-iotc",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.68,1.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
,"NEAFC;NASCO;ICCAT;FAO27","North East Atlantic Ocean","Bery_spl_NorthEastAtlantic","Medium benthopelagics (30 - 89 cm)","Splendid alfonsino in North East Atlantic Ocean","Splendid alfonsino","Beryx splendens","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
"Y","IOTC","Indian Ocean","Carc_fal_IndianOcean","Large sharks (>=90 cm)","Silky shark in Indian Ocean","Silky shark","Carcharhinus falciformis","http://www.iotc.org/science/status-summary-species-tuna-and-tuna-species-under-iotc-mandate-well-other-species-impacted-iotc",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Very low","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
"Y","IOTC; SIOFA; CCSBT","Indian Ocean","Cory_hip_IndianOcean","Large pelagics (>=90 cm)","Common dolphinfish in Indian Ocean","Common dolphinfish","Coryphaena hippurus","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","High",0.39,1.54,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
,"GFCM;ICCAT","Mediterranean","Cory_hip_Med","Large pelagics (>=90 cm)","Common dolphinfish in Mediterranean","Common dolphinfish","Coryphaena hippurus",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18. The slow decline in catches is incompatible with expected high resilience of the species. Probably much higher catches in the past, followed by steeper decline. In the analysis as presented, r is probably too low."
,"WCPFC","Western Pacific Ocean","Cory_hip_WCPFC","Large pelagics (>=90cm)","Common dolphinfish in Western Pacific","Common dolphinfish","Coryphaena hippurus",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","High","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","RF OK 14/05/18."
,"GFCM;ICCAT","Mediterranean","Engr_enc_Med","Small pelagics (<30 cm)","European anchovy in Mediterranean","European anchovy","Engraulis encrasicolus",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","High",0.26,1.16,"NA","NA",2002,0.1,0.5,"NA","NA",2002,2010,"CPUE","F","RF OK 14/05/18. CPUE used ENGRENC_BA. Stock ENGRENC_LI Biomass from MEDIAS for GSA7, ENGRENC_BA  Average Biomass from MEDIAS for GSAs 1 & 6. ENGRENC_SA Biomass from MEDIAS for GSAs 8-10."
"Y","IOTC","Indian Ocean","Euth_aff_IndianOcean","Large pelagics (>=90 cm)","Kawakawa in Indian Ocean","Kawakawa","Euthynnus affinis","http://www.iotc.org/science/status-summary-species-tuna-and-tuna-species-under-iotc-mandate-well-other-species-impacted-iotc",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA",1990,0.6,1,"NA","NA","NA","NA","CPUE","F","RF changed start of CPUE to 1990, with prior biomass 0.4-0.8. OK 14/05/18."
"Y","WCPFC;CCSBT","Western Pacific Ocean","Euth_aff_WesternPacificOcean","Large pelagics (>=90 cm)","Kawakawa in Sunda Shelf/Java Sea","Kawakawa","Euthynnus affinis","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.35,0.97,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F",
,"GFCM;ICCAT","Mediterranean","Euth_all_Med","Large pelagics (>=90 cm)","Little tunny in Mediterranean","Little tunny","Euthynnus alletteratus",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.36,1.14,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!!! Straddling Stock"
,"ICES areas 27.5.a.2; 27.2.b.2; 27.14.a; 27.14.b.2; 27.2.a.2; 27.2.b.1; 27.2.a.1","Iceland","Gadu_mor_Iceland","Large benthopelagics (>=90 cm)","Atlantic cod in Iceland","Atlantic cod","Gadus morhua","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/cod-iceg.pdf",1950,2014,1950,2014,"NA","NA","NA","NA",1296,0.359,466,"NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA",0.2,0.6,"NA","NA","CPUE","F","RF OK 01/03/18. Consider joining the two Iceland ecoregions, same as stock cod-iceg ."
"Y","IOTC","Indian Ocean","Isti_ind_IndianOcean","Large pelagics (>=90 cm)","Black marlin in South India and Sri Lanka","Black marlin","Istiompax indica","http://www.iotc.org/science/status-summary-species-tuna-and-tuna-species-under-iotc-mandate-well-other-species-impacted-iotc",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.21,1.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F",
"Y","IOTC; SIOFA; CCSBT","Indian Ocean","Isti_pla_IndianOcean","Large pelagics (>=90 cm)","Indo-Pacific sailfish in Indian Ocean","Indo-Pacific sailfish","Istiophorus platypterus","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","Combined catch from FAO area 48, 58, and 88"
"Y","ICCAT; FAO 27,34,47","Atlantic Ocean, East","Kats_pel_EastAtlanticOcean","Large pelagics (>=90 cm)","Skipjack tuna in Eastern Atlantic Ocean","Skipjack tuna","Katsuwonus pelamis","https://www.iccat.int/Documents/Meetings/Docs/2014_SKJ_ASSESS_ENG.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.36,1.2,"NA","NA","NA","NA","NA","NA","NA",1976,1990,"CPUE","F","Combined catch from FAO areas 27, 43, 47 to represent ICCAT SKJ-E"
"Y","IOTC; SIOFA; CCSBT","Indian Ocean","Kats_pel_IndianOcean","Large pelagics (>=90 cm)","Skipjack tuna in Indian Ocean","Skipjack tuna","Katsuwonus pelamis","http://www.iotc.org/sites/default/files/documents/science/species_summaries/english/Skipjack_tuna_Supporting_information.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA",1985,0.5,0.8,"NA","NA","NA","NA","CPUE","F","Combined catch from FAO area 48, 58, and 88"
,"GFCM;ICCAT","Mediterranean","Kats_pel_Med","Large pelagics (>=90 cm)","Skipjack tuna in the Mediterranean","Skipjack tuna","Katsuwonus pelamis",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.36,1.2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","Limited resilience to 1.2."
"Y","WCPFC;CCSBT","Western Pacific Ocean","Kats_pel_WesternPacificOcean","Large pelagics (>=90 cm)","Skipjack tuna in Sunda Shelf/Java Sea","Skipjack tuna","Katsuwonus pelamis","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.36,1.2,"NA","NA",1986,0.4,0.8,"NA","NA","NA","NA","None","F","Limited resilience to 1.2."
,"NEAFC;NASCO;ICCAT","East Atlantic Ocean","Maka_nig_EastAtlantic","Large pelagics (>=90 cm)","Indo-Pacific blue marlin in East Atlantic Ocean","Indo-Pacific blue marlin","Makaira nigricans","NA",1956,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!!! Straddling stock"
"Y","ICES areas 5 and 14 and Division 2.a west of 5°W","Iceland and Faroes grounds, East Greenland and Jan Mayen area","Mall_vil_GreenlandIceland","Small pelagics (<30 cm)","Capelin in Iceland and Faroes grounds, East Greenland and Jan Mayen area","Capelin","Mallotus villosus","http://ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/cap.27.2a514.pdf",1950,2014,1950,2014,"NA","NA","NA","NA",2.95,0.357,1.05,"NA","NA","NA","NA","NA","Medium",0.17,1.11,"NA","NA",1985,0.2,0.6,0.2,0.6,"NA","NA","CPUE","F","CPUE from cap.27.2a514 ICES 5 and 14 and Division 1.a west of 5 degrees W."
"Y","ICES areas 1 and 2","Norwegian, Barents and North Sea","Mall_vil_NorwayBarentsNorth","Small pelagics (<30 cm)","Capelin in Norwegian, Barents and North Sea","Capelin","Mallotus villosus","http://ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/cap.27.1-2.pdf
http://ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/cap.27.1-2.pdf",1963,2014,1963,2014,"NA","NA","NA","NA",2.95,0.357,1.05,"NA","NA","NA","NA","NA","Medium",0.17,1.11,"NA","NA","NA","NA","NA",0.01,0.2,"NA","NA","CPUE","F","CPUE from cap.27.1-2 ICES subareas 1 and 2"
,"ICES areas 27.5.a.2; 27.2.b.2; 27.14.a; 27.14.b.2; 27.2.a.2; 27.2.b.1; 27.2.a.1","Iceland","Mela_aeg_Iceland","Medium demersals (30 - 89 cm)","Haddock in Iceland","Haddock","Melanogrammus aeglefinus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/had-iceg.pdf",1950,2014,1950,2014,"NA","NA","NA","NA",191,0.342,65.2,"NA","NA","NA","NA","NA","Medium",0.23,1,"NA","NA",2000,0.1,0.4,0.2,0.6,"NA","NA","CPUE","F","RF OK 22/02/18. Consider joining both Iceland ecoregions, same as stock had-iceg."
"Y","ICES areas: 4.a; 5.b.1.b; 5.b.2; 6.a; 6.b.1; 6.b.2; 7.c.1; 7.c.2; 7.k.1; 7.k.2; 8.d.2; 7.j.2; 7.b; 7.h; 7.g; 7.f; 7.e; 7.d; 7.a; 7.j.1; 8.d.1","Western Europe","Merl_mer_WesternEurope","Large demersals (>=90 cm)","European hake in Celtic Seas","European hake","Merluccius merluccius","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/hke.27.3a46-8abd.pdf",1950,2014,1970,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA",0.2,0.6,2005,0.01,0.3,0.5,0.9,1990,2008,"CPUE","F","CPUE for hke-3a46-8abd, ICES areas 4,6,7 and 8. Combined catch from ME Faroe Plateau, Celtic Sea, North Sea and South European Atlantic Shelf"
"Y","FAO area 27","Atlantic, Northeast","Micr_pou_AtlanticNortheast","Medium benthopelagics (30 - 89 cm)","Blue whiting in Atlantic, Northeast","Blue whiting","Micromesistius poutassou","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/whb-comb.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA",1980,0.1,0.5,"NA","NA","NA","NA","CPUE","F","Used catch from all of FAO area 27"
,"ICES areas: 4.a; 5.b.1.b; 5.b.2; 6.a; 6.b.1; 6.b.2; 7.c.1; 7.c.2; 7.k.1; 7.k.2; 8.d.2; 7.j.2; 7.b; 7.h; 7.g; 7.f; 7.e; 7.d; 7.a; 7.j.1; 8.d.1","North East Atlantic Ocean","Molv_mol_NorthEastAtlantic","Large demersals (>=90 cm)","Ling in North East Atlantic","Ling","Molva molva","NA",1950,2014,1970,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low",0.22,0.66,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","Combined catch from ME Faroe Plateau, Celtic Sea, North Sea and South European Atlantic Shelf"
,"ICES areas 27.5.a.2; 27.2.b.2; 27.14.a; 27.14.b.2; 27.2.a.2; 27.2.b.1; 27.2.a.1","Iceland","Poll_vir_Iceland","Large demersals (>=90 cm)","Saithe in Iceland","Saithe","Pollachius virens","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/sai-icel.pdf",1950,2014,1950,2014,"NA","NA","NA","NA",218,0.293,63.8,"NA","NA","NA","NA","NA","Medium",0.21,0.75,"NA","NA",2000,0.01,0.4,0.2,0.6,"NA","NA","CPUE","F","RF OK 22/02/18. Consider joining both Iceland ecoregions, same as stock sai-iceg = pok.27.5a"
,"NEAFC;NASCO;ICCAT,FAO 21,27,31,34","North Atlantic Ocean","Prio_gla_NorthAtlantic","Large sharks (>=90 cm)","Blue shark in North Atlantic Ocean","Blue shark","Prionace glauca","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Very low","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","Combined catch from FAO area 21,27,31,34"
