"Ready?","Region","Subregion","Stock","Group","Name","EnglishName","ScientificName","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","btype","force.cmsy","Comment"
"Y","IOTC; SIOFA; CCSBT","Indian Ocean","Prio_gla_IndianOcean","Large sharks (>=90 cm)","Blue shark in Indian Ocean","Blue shark","Prionace glauca","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Very low","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!! Straddling stock for Antarctic ocean (FAO area 48, 58, and 88)"
,"GFCM;ICCAT","Mediterranean","Prio_gla_Med","Large sharks (>=90 cm)","Blue shark in Western Mediterranean","Blue shark","Prionace glauca",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Very low","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","!!! Straddling stock"
"Y","IOTC","Indian Ocean","Rast_kan_IndianOcean","Medium pelagics (30 - 89 cm)","Indian mackerel in Indian Ocean","Indian mackerel","Rastrelliger kanagurta","NA",1968,2014,1968,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!! Straddling stock for FAO area 51"
"Y","WCPFC","Western Pacific Ocean","Rast_kan_WCPFC","Medium pelagics (30 - 89 cm)","Indian mackerel in WPCFC","Indian mackerel","Rastrelliger kanagurta",,1987,2014,1987,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F",
"Y","IOTC","Indian Ocean","Sard_lon_IndianOcean","Small pelagics (<30 cm)","Indian oil sardine in Indian Ocean","Indian oil sardine","Sardinella longiceps","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!! Straddling stock for FAO area 51"
,"WCPFC","Western Pacific Ocean","Sard_sag_WCPFC","Medium pelagics (30 - 89 cm)","Pacific sardine in WCPFC","Pacific sardine","Sardinops sagax","http://www.pcouncil.org/wp-content/uploads/2011_CPS_SAFE_Sardine_assessment_Appendix_C.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.3,1.07,"NA","NA",1993,0.01,0.4,"NA","NA",1993,2011,"CPUE","F","!!! Wide ranging only in West Pacific, NOAA CPUE might be representative"
,"GFCM, ICCAT","Mediterranean","Sard_sar_Med","Medium pelagics (30 - 89 cm)","Atlantic bonito in the Mediterranean","Atlantic bonito","Sarda sarda",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.84,1.3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!!! Straddling stock. Limited resilience to 1.3."
,"ICCAT;FAO 31","Western Central Atlantic Ocean","Sard_sar_WesternCentralAtlantic","Medium pelagics (30 - 89 cm)","Atlantic bonito in Western Central Atlantic Ocean","Atlantic bonito","Sarda sarda","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.84,3.11,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","Combined catch from FAO area 31"
,"NEAFC;NASCO;ICCAT","Azores Canaries Madeira and Saharan Upwelling","Sco_col_ACMandSaharanUpwelling","Medium pelagics (30 - 89 cm)","Atlantic chub mackerel in Azores Canaries Madeira and Saharan Upwelling","Atlantic chub mackerel","Scomber colias","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.2,0.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!!! Straddling stock"
,"ICCAT","Northern and Southern Gulf of Mexico","Scom_cav_GulfofMexico","Large reef assoc. fish (>=90 cm)","King mackerel in Gulf of Mexico","King mackerel","Scomberomorus cavalla","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low",0.23,0.94,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","Combined catch from ME Northern Gulf of Mexico and Southern Gulf of Mexico"
"Y","IOTC","Indian Ocean","Scom_com_IndianOcean","Large pelagics (>=90 cm)","Narrowbarred Spanish mackerel in Indian Ocean","Narrowbarred Spanish mackerel","Scomberomorus commerson","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.27,1.09,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","NA"
,"GFCM;ICCAT","Mediterranean","Scom_com_Med","Large pelagics (>=90 cm)","Narrowbarred Spanish mackerel in the Mediterranean","Narrowbarred Spanish mackerel","Scomberomorus commerson",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.27,1.09,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!!! Straddling stock"
"Y","WCPFC;CCSBT","Western Pacific Ocean","Scom_com_WesternPacificOcean","Large pelagics (>=90 cm)","Narrowbarred Spanish mackerel in WesternPacificOcean","Narrowbarred Spanish mackerel","Scomberomorus commerson","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.27,1.09,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F",
"Y","IOTC","Indian Ocean","Scom_gut_IndianOcean","Medium pelagics (30 - 89 cm)","Indo-Pacific king mackerel in Indian Ocean","Indo-Pacific king mackerel","Scomberomorus guttatus","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.2,0.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","NA"
,"ICCAT","Northern and Southern Gulf of Mexico","Scom_mac_GulfofMexico","Medium pelagics (30 - 89 cm)","Atlantic Spanish mackerel in Gulf of Mexico","Atlantic Spanish mackerel","Scomberomorus maculatus","NA",1954,2014,1954,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.3,1.03,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F",
"Y","GFCM, ICCAT","Mediterranean","Scom_sco_Med","Medium pelagics (30 - 89 cm)","Atlantic mackerel in Mediterranean","Atlantic mackerel","Scomber scombrus",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA",0.5,0.9,1994,0.1,0.5,"NA","NA",1994,2007,"CPUE","F","Set starting biomass to higher and found more viable r-k pairs.  CPUE used SCOMSCO_BA"
,"NEAFC;NASCO;ICCAT; FAO 27","North East Atlantic","Scom_sco_NorthEastAtlantic","Medium pelagics (30 - 89 cm)","Atlantic mackerel in North East Atlantic","Atlantic mackerel","Scomber scombrus","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.23,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!!! Straddling stock"
,"ICES areas 27.5.a.2; 27.2.b.2; 27.14.a; 27.14.b.2; 27.2.a.2; 27.2.b.1; 27.2.a.1","Iceland","Seba_men_Iceland","Medium bathypelagics (30 - 89 cm)","Beaked redfish in North and East Iceland","Beaked redfish","Sebastes mentella","https://eu.oceana.org/sites/default/files/exploitationstatus_8nov16_2.pdf",1978,2014,1978,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!!! Straddling stock. Use catches from the two Iceland and the two east Greenland ecoregions together with CPUE for reb5a14  "
"Y","IOTC","Indian Ocean","Sphy_bar_IndianOcean","Large pelagics (>=90 cm)","Great barracuda in Indian Ocean","Great barracuda","Sphyraena barracuda","http://www.iotc.org/science/status-summary-species-tuna-and-tuna-species-under-iotc-mandate-well-other-species-impacted-iotc",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low",0.112976722,0.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F",
"Y","IOTC","Indian Ocean","Sphy_lew_IndianOcean","Large sharks (>=90 cm)","Scalloped hammerhead in Indian Ocean","Scalloped hammerhead","Sphyrna lewini","http://www.iotc.org/science/status-summary-species-tuna-and-tuna-species-under-iotc-mandate-well-other-species-impacted-iotc",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Very low","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F",
"Y","IOTC","Northern Bay of Bengal,  Eastern India, South India and Sri Lanka","Tenu_ili_EastIndia","Medium pelagics (30 - 89 cm)","Hilsa shad in Northern Bay of Bengal,  Eastern India, South India and Sri Lanka","Hilsa shad","Tenualosa ilisha","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.330984731,0.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","NA"
,"NEAFC;NASCO;ICCAT; FAO 21,27,31,34","North Atlantic","Thun_ala_NorthAtlantic","Large pelagics (>=90 cm)","Albacore in North Atlantic","Albacore","Thunnus alalunga","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.26,0.8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F",
"Y","ICCAT; FAO 41, 47","Atlantic Ocean, South","Thun_ala_SouthAtlanticOcean","Large pelagics (>=90 cm)","Albacore tuna in Southern Atlantic Ocean","Albacore","Thunnus alalunga","https://www.iccat.int/Documents/Meetings/Docs/2016_ALB_REPORT_ENG.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","Used FAO areas 41 and 47 to represent ICCAT ALB-S"
"Y","ICCAT","Atlantic Ocean","Thun_alb_AtlanticOcean","Large pelagics (>=90 cm)","Yellowfin tuna in Atlantic Ocean","Yellowfin tuna","Thunnus albacares","https://www.iccat.int/Documents/SCRS/DetRep/YFT_ASS_ENG.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.27,1.34,"NA","NA",1975,0.2,0.6,"NA","NA","NA","NA","CPUE","F","Combined catch from FAO areas 21,27,31,34,41,47. Used CPUE index Japan_LL_65_14."
"Y","IOTC; SIOFA; CCSBT","Indian Ocean","Thun_alb_IndianOcean","Large pelagics (>=90 cm)","Yellowfin tuna in Indian Ocean","Yellowfin tuna","Thunnus albacares","http://www.iotc.org/sites/default/files/documents/science/species_summaries/english/Yellowfin%20tuna%20Supporting%20Information.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA",1990,2000,"CPUE","F","!! Straddling stock for Antarctic ocean (FAO area 48, 58, and 88)"
,"WCPFC","Western Pacific Ocean","Thun_alb_WCPFC","Large pelagics (>=90cm)","Yellowfin tuna in ChinaMEs combined","Yellowfin tuna","Thunnus albacares","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA",1999,0.1,0.4,0.1,0.4,1999,2014,"CPUE","F","!!! Straddling, join with FAO 77, but might work with CPUE"
"Y","IOTC; SIOFA; CCSBT","Indian Ocean","Thun_mac_IndianOcean","Large pelagics (>=90 cm)","Southern bluefin tuna in Indian Ocean","Southern bluefin tuna","Thunnus maccoyii","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low",0.2,0.62,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!! Straddling stock for Antarctic ocean (FAO area 48, 58, and 88)"
"Y","ICCAT","Atlantic Ocean","Thun_obe_AtlanticOcean","Large pelagics (>=90 cm)","Bigeye tuna in Atlantic Ocean","Bigeye tuna","Thunnus obesus","https://www.iccat.int/Documents/Meetings/Docs/2015_BET%20ASSESS_REPORT_ENG.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.53,0.8,"NA","NA",2000,0.1,0.5,"NA","NA","NA","NA","CPUE","F",
"Y","IOTC; SIOFA; CCSBT","Indian Ocean","Thun_obe_IndianOcean","Large pelagics (>=90 cm)","Bigeye tuna in Indian Ocean","Bigeye tuna","Thunnus obesus","http://www.iotc.org/sites/default/files/documents/science/species_summaries/english/Bigeye_tuna_Supporting_information.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.3,0.94,"NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","!! Straddling stock for Antarctic ocean (FAO area 48, 58, and 88)"
"Y","GFCM;ICCAT;FAO areas 27,37","East Atlantic and Mediterranean","Thun_thy_Med","Large pelagics (>=90 cm)","Atlantic bluefin tuna in Western Mediterranean","Atlantic bluefin tuna","Thunnus thynnus","https://www.iccat.int/Documents/Meetings/Docs/2014_BFT_ASSESS-ENG.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low",0.21,0.64,"NA","NA",1981,0.2,0.6,"NA","NA",1981,2012,"CPUE","F","CPUE from ICCAT."
"Y","IOTC","Indian Ocean","Thun_ton_IndianOcean","Large pelagics (>=90 cm)","Longtail tuna in Indian Ocean","Longtail tuna","Thunnus tonggol","http://www.iotc.org/science/status-summary-species-tuna-and-tuna-species-under-iotc-mandate-well-other-species-impacted-iotc",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low",0.088340996,0.5,"NA","NA","NA","NA","NA",0.4,0.8,"NA","NA","None","F",
"Y","WCPFC;CCSBT","Western Pacific Ocean","Thun_ton_WesternPacificOcean","Large pelagics (>=90 cm)","Longtail tuna in Sunda Shelf/Java Sea","Longtail tuna","Thunnus tonggol","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low",0.088340996,0.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F",
,"GFCM, ICCAT","Mediterranean","Trac_med_Med","Medium pelagics (30 - 89 cm)","Mediterranean horse mackerel in the Mediterranean","Mediterranean horse mackerel","Trachurus mediterraneus",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","!!! Straddling stock. Limited resilience to 1.3."
,"GFCM, ICCAT","Mediterranean","Trac_tra_Med","Medium pelagics (30 - 89 cm)","Atlantic horse mackerel in the Mediterranean","Atlantic horse mackerel","Trachurus trachurus",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.22,0.98,"NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","!!! Straddling stock"
,"ICES areas: 4.a; 5.b.1.b; 5.b.2; 6.a; 6.b.1; 6.b.2; 7.c.1; 7.c.2; 7.k.1; 7.k.2; 8.d.2; 7.j.2; 7.b; 7.h; 7.g; 7.f; 7.e; 7.d; 7.a; 7.j.1; 8.d.1","Western Europe","Trac_tra_WesternEurope","Medium pelagics (30 - 89 cm)","Atlantic horse mackerel in Celtic Seas","Atlantic horse mackerel","Trachurus trachurus","http://ices.dk/sites/pub/Publication%20Reports/Advice/2017/2017/hom.27.3a4bc7d.pdf",1950,2014,1970,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","Combined catch from ME Faroe Plateau, Celtic Sea, North Sea, Southern Norway, Northern Norway and Finmark, and South European Atlantic Shelf"
,"ICCAT","Mediterranean","Tric_lep_Med","Large benthopelagics (>=90 cm)","Largehead hairtail in Mediterranean","Largehead hairtail","Trichiurus lepturus",,1990,2014,1990,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.42,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!!! RF Straddling stock, eastern or all Med."
"Y","IOTC; SIOFA; CCSBT","Indian Ocean","Xiph_gla_IndianOcean","Large pelagics (>=90 cm)","Swordfish in Indian Ocean","Swordfish","Xiphias gladius","http://www.iotc.org/sites/default/files/documents/science/species_summaries/english/Swordfish%20Supporting%20Information.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.24,0.77,"NA","NA","NA","NA","NA",0.4,0.8,"NA","NA","CPUE","F","!! Straddling stock for Antarctic ocean (FAO area 48, 58, and 88)"
,"GFCM;ICCAT","North Atlantic","Xiph_gla_NorthAtlantic","Large pelagics (>=90 cm)","Swordfish in Western Mediterranean","Swordfish","Xiphias gladius",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.24,0.77,"NA","NA",1996,0.1,0.5,"NA","NA","NA","NA","CPUE","F","!!! Straddling stock"
